"","x","y","land_perc","temp","phyto","velo","diversity","active","upper","lower","right","left","upper_left","upper_right","lower_left","lower_right"
"201",-355000,6836621.57142857,0,283.625031948761,1.55605982662011,7.68184219783913,0.34,1,1,1,1,1,1,1,1,1
"202",-265000,6836621.57142857,0,283.984249500799,1.54544824732134,8.20787318654894,0.26,1,1,1,1,1,1,1,1,1
"203",-175000,6836621.57142857,0,284.257385573015,1.55461547221065,4.88072923348867,0.3,1,1,1,1,1,1,1,1,1
"204",-85000,6836621.57142857,0,284.487869459955,1.57102597564464,4.89424201433218,0.28,1,1,1,1,1,1,1,1,1
"205",5000,6836621.57142857,0,284.700920600221,1.54352698091023,5.54238468734893,0.36,1,1,1,1,1,1,1,1,1
"206",95000,6836621.57142857,0,284.778494195424,1.56471766064669,4.43925493908953,0.34,1,1,1,1,1,1,1,1,1
"207",185000,6836621.57142857,0,284.697064467013,1.63309172405112,4.71783004942325,0.34,1,1,1,1,1,1,1,1,1
"208",275000,6836621.57142857,0,284.565799738173,1.75801290776984,4.36127382470506,0.48,1,1,1,1,1,1,1,1,1
"209",365000,6836621.57142857,0,284.911457121324,1.74780608958489,6.00070403926614,0.46,1,1,1,1,1,1,1,1,1
"210",455000,6836621.57142857,0,285.147625418716,1.68896687182878,5.31610072415343,0.6,1,1,1,1,1,1,1,1,1
"211",545000,6836621.57142857,0,285.116184480655,1.72191514001047,4.15377097576316,0.64,1,1,1,1,1,1,1,1,1
"212",635000,6836621.57142857,0,285.098527903115,1.93625476065431,5.08218197694236,0.66,1,1,1,1,1,1,1,1,1
"213",725000,6836621.57142857,0.0231265451513587,284.795952035245,2.64728354460963,5.33493421344846,0.58,1,1,1,1,1,1,1,1,0
"214",815000,6836621.57142857,0.134268442798276,284.140117105605,3.10776609155165,4.96811653898414,0.5,1,1,0,1,1,1,0,1,1
"215",905000,6836621.57142857,0.356380301569696,283.841996360486,3.60420683635468,2.31800083251197,0.14,1,0,1,0,1,1,0,0,1
"216",995000,6836621.57142857,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"217",1085000,6836621.57142857,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"218",1175000,6836621.57142857,0.456730053132968,283.51472502854,2.87010619796188,2.93011230779368,0.28,1,1,0,1,0,1,1,1,0
"219",1265000,6836621.57142857,0.0626812540708038,283.846877166298,2.41688115006474,2.77978029041671,0.36,1,1,0,1,1,1,1,0,1
"220",1355000,6836621.57142857,0,283.864123585858,1.77304508195654,2.25801126291239,0.36,1,1,1,1,1,1,1,0,1
"221",1445000,6836621.57142857,0,284.222494317992,1.45467381093928,1.98245434275302,0.32,1,1,1,1,1,1,1,1,1
"222",1535000,6836621.57142857,0,284.628205383677,1.48934602718374,2.59838685797849,0.34,1,1,1,1,1,1,1,1,1
"223",1625000,6836621.57142857,0.0761774478891448,284.7828918151,3.05656334037438,4.02804446541261,0.36,1,1,1,1,1,1,1,1,0
"224",1715000,6836621.57142857,0.0981674490011196,284.512905692589,3.54024920150261,3.33899025191982,0.2,1,1,0,0,1,1,1,1,0
"225",1805000,6836621.57142857,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"226",-2155000,6689204.14285714,0,277.279713918969,2.74293668989602,5.70404562692569,0.16,1,1,1,1,0,0,1,0,1
"227",-2065000,6689204.14285714,0,277.196054674446,3.02295333222192,9.14653126802959,0.12,1,1,1,1,1,1,1,1,1
"228",-1975000,6689204.14285714,0,278.604509957859,2.87893770304618,19.7690870160712,0.16,1,1,1,1,1,1,1,1,1
"229",-1885000,6689204.14285714,0,280.601200625033,2.09437510120568,3.79706982647636,0.34,1,1,1,1,1,1,1,1,1
